iter	RMSE
0	402.7853914
1	402.5990986
2	402.4119131
3	402.2254558
4	402.039994
5	401.8540864
6	401.6664265
7	401.4790532
8	401.2939655
9	401.10911
10	400.9225497
11	400.7382537
12	400.5542527
13	400.3704433
14	400.1869847
15	400.004504
16	399.8216048
17	399.6388543
18	399.4543611
19	399.2701506
20	399.0860541
21	398.9010849
22	398.7176313
23	398.5357348
24	398.3549019
25	398.1722859
26	397.9899503
27	397.8078948
28	397.6280733
29	397.4483116
30	397.2690576
31	397.0900798
32	396.9113778
33	396.7308024
34	396.5505583
35	396.3705918
36	396.1899856
37	396.0132579
38	395.8368036
39	395.657793
40	395.4811712
41	395.3043921
42	395.1262032
43	394.9503583
44	394.7747855
45	394.597375
46	394.4222654
47	394.2467911
48	394.0681919
49	393.891764
50	393.7156762
51	393.5418789
52	393.366313
53	393.1932042
54	393.0181387
55	392.8453566
56	392.672208
57	392.4960467
58	392.3219548
59	392.1455573
60	391.9719011
61	391.7999739
62	391.6296007
63	391.4588089
64	391.2882829
65	391.1180222
66	390.9459672
67	390.7762166
68	390.6074043
69	390.4381793
70	390.2691473
71	390.0996475
72	389.9271112
73	389.7567301
74	389.5886437
75	389.4212969
76	389.2516422
77	389.0850565
78	388.9159097
79	388.7457165
80	388.5783966
81	388.4099589
82	388.2417841
83	388.0735487
84	387.9086725
85	387.7412297
86	387.5753115
87	387.4109448
88	387.2442011
89	387.0798692
90	386.9149174
91	386.7502247
92	386.5857909
93	386.4187109
94	386.2515427
95	386.0843732
96	385.9208944
97	385.7560449
98	385.5897841
99	385.4270006
100	385.2644734
101	385.1029591
102	384.940922
103	384.7798717
104	384.6131508
105	384.4502154
106	384.2875358
107	384.1249793
108	383.9617171
109	383.7970022
110	383.6367928
111	383.4774751
112	383.3162023
113	383.1550511
114	382.9942833
115	382.8318239
116	382.6728359
117	382.5127581
118	382.3527982
119	382.1960746
120	382.0367304
121	381.8752705
122	381.7162832
123	381.5589416
124	381.3972835
125	381.2411139
126	381.0831671
127	380.9275157
128	380.7699094
129	380.6126847
130	380.4557086
131	380.2989809
132	380.1423617
133	379.9861274
134	379.8304086
135	379.6726266
136	379.5181352
137	379.3628653
138	379.2098077
139	379.0568568
140	378.9020172
141	378.7455593
142	378.5911699
143	378.4371645
144	378.2791732
145	378.1223004
146	377.9710107
147	377.8163264
148	377.6634377
149	377.5107919
150	377.3555355
151	377.2033051
152	377.0513199
153	376.9015762
154	376.74574
155	376.5929531
156	376.4437211
157	376.2903789
158	376.1415175
159	375.9910249
160	375.8397387
161	375.6863227
162	375.5389983
163	375.3879291
164	375.2385243
165	375.0834546
166	374.9315259
167	374.779402
168	374.6317989
169	374.4805027
170	374.3294474
171	374.1824867
172	374.0347251
173	373.8871548
174	373.7398399
175	373.5898427
176	373.445603
177	373.29877
178	373.1523353
179	373.0017616
180	372.855049
181	372.7101438
182	372.5645439
183	372.4191775
184	372.2764797
185	372.1322058
186	371.9891486
187	371.8465143
188	371.6977802
189	371.5506177
190	371.4039875
191	371.2603406
192	371.1188713
193	370.971183
194	370.8255399
195	370.6789692
196	370.5328672
197	370.3878631
198	370.2472695
199	370.1018289
200	369.9616617
201	369.8168463
202	369.6730014
203	369.5332269
204	369.3920201
205	369.2468367
206	369.1070883
207	368.9676306
208	368.8240024
209	368.6854923
210	368.5422871
211	368.4043728
212	368.2606144
213	368.1231926
214	367.9809192
215	367.8388749
216	367.6986125
217	367.5600909
218	367.421709
219	367.2811456
220	367.1415223
221	367.0047981
222	366.8672324
223	366.7265488
224	366.5852074
225	366.4452833
226	366.3052366
227	366.1615429
228	366.0251825
229	365.8819163
230	365.7459744
231	365.6102534
232	365.476442
233	365.3386295
234	365.2052611
235	365.0702389
236	364.9292854
237	364.7910024
238	364.6525056
239	364.5152985
240	364.3778407
241	364.2413305
242	364.103635
243	363.9665257
244	363.8296855
245	363.6925027
246	363.5614682
247	363.4254576
248	363.2889118
249	363.1575066
250	363.0213137
251	362.8861103
252	362.7541157
253	362.6192618
254	362.4895617
255	362.3600742
256	362.225623
257	362.0927322
258	361.9591557
259	361.8293926
260	361.6960883
261	361.5669165
262	361.4346135
263	361.3020564
264	361.1693264
265	361.033707
266	360.9062054
267	360.7701156
268	360.6374203
269	360.5111684
270	360.3751306
271	360.2420816
272	360.1106407
273	359.9801685
274	359.8523372
275	359.7190383
276	359.5934596
277	359.4509373
278	359.3238153
279	359.1944721
280	359.065968
281	358.9323286
282	358.8019875
283	358.6674005
284	358.541327
285	358.415737
286	358.2834069
287	358.1576784
288	358.0285355
289	357.8983082
290	357.7700329
291	357.6452879
292	357.5174322
293	357.383411
294	357.2551456
295	357.1326287
296	357.0023337
297	356.8716858
298	356.744786
299	356.6212335
300	356.4987564
301	356.3538693
302	356.2238124
303	356.098517
304	355.9767029
305	355.8492414
306	355.722088
307	355.5933722
308	355.4722074
309	355.3438037
310	355.215194
311	355.0944671
312	354.9665107
313	354.8468667
314	354.7261372
315	354.6013717
316	354.4774397
317	354.3586218
318	354.2381378
319	354.1106927
320	353.9915719
321	353.8639832
322	353.7422806
323	353.6249765
324	353.5017316
325	353.3753014
326	353.2534851
327	353.1355614
328	353.0084905
329	352.8861463
330	352.7676139
331	352.6426094
332	352.5262921
333	352.4093581
334	352.2914979
335	352.1708782
336	352.0557564
337	351.9356772
338	351.8154075
339	351.6931124
340	351.5726878
341	351.4475317
342	351.3242573
343	351.1994156
344	351.0849288
345	350.9639878
346	350.8444502
347	350.7270079
348	350.6078199
349	350.492178
350	350.3738471
351	350.250426
352	350.1371277
353	350.0146273
354	349.8933474
355	349.7712981
356	349.6503255
357	349.5277324
358	349.4156628
359	349.2898354
360	349.1675947
361	349.0501182
362	348.9138151
363	348.7919979
364	348.6668148
365	348.5298241
366	348.4178263
367	348.2965836
368	348.1800736
369	348.060844
370	347.9494657
371	347.8305905
372	347.6986497
373	347.5865092
374	347.4662557
375	347.347791
376	347.2275222
377	347.1130261
378	347.0027867
379	346.8915588
380	346.782907
381	346.6640328
382	346.546508
383	346.4370101
384	346.3201248
385	346.2012469
386	346.0854279
387	345.9718281
388	345.8598787
389	345.7273973
390	345.6111583
391	345.4918879
392	345.3844606
393	345.2738053
394	345.1561143
395	345.0437586
396	344.9349923
397	344.8173348
398	344.7080878
399	344.575569
400	344.4572525
401	344.342165
402	344.2271634
403	344.1107221
404	343.9802822
405	343.8637356
406	343.7473815
407	343.6315632
408	343.517471
409	343.4040961
410	343.2905221
411	343.159332
412	343.0441427
413	342.9273677
414	342.8020152
415	342.6981021
416	342.5895042
417	342.4796985
418	342.3654946
419	342.2615155
420	342.1318834
421	342.0275972
422	341.9189064
423	341.7895931
424	341.6788217
425	341.5698524
426	341.4619815
427	341.358542
428	341.2353456
429	341.1279378
430	341.0009317
431	340.8877917
432	340.7746579
433	340.6683785
434	340.5458091
435	340.4413375
436	340.3290801
437	340.2166377
438	340.1118699
439	340.0100723
440	339.8984217
441	339.7953524
442	339.6908206
443	339.5826949
444	339.4823805
445	339.3556153
446	339.2512732
447	339.1297647
448	339.0187699
449	338.9095147
450	338.8011429
451	338.6965916
452	338.5838242
453	338.4782773
454	338.3749443
455	338.2743807
456	338.1735853
457	338.0617143
458	337.9488826
459	337.8459175
460	337.7386924
461	337.6190053
462	337.5065097
463	337.3974423
464	337.2932493
465	337.1812318
466	337.0622274
467	336.9382671
468	336.8377109
469	336.7263555
470	336.624781
471	336.5225982
472	336.4228416
473	336.3225396
474	336.1995296
475	336.0817988
476	335.9770037
477	335.8808176
478	335.7820886
479	335.6830176
480	335.5782886
481	335.4684411
482	335.3516351
483	335.2449921
484	335.1453246
485	335.041191
486	334.9332241
487	334.8292618
488	334.7083337
489	334.6127752
490	334.4920382
491	334.3937417
492	334.2914846
493	334.1709329
494	334.0504976
495	333.9313911
496	333.8233235
497	333.7207637
498	333.6080336
499	333.5131696
500	333.4167427
501	333.312855
502	333.1934969
503	333.0952518
504	332.9765944
505	332.8699303
506	332.7738418
507	332.6791078
508	332.5778731
509	332.4776512
510	332.3767129
511	332.2796433
512	332.1767503
513	332.0709282
514	331.9582176
515	331.8604691
516	331.7500902
517	331.6534719
518	331.5507407
519	331.4345218
520	331.3174322
521	331.2135162
522	331.1197229
523	331.002927
524	330.9084194
525	330.814472
526	330.6990922
527	330.5901127
528	330.4958412
529	330.3801987
530	330.2812587
531	330.1909683
532	330.1002083
533	330.0073104
534	329.9119161
535	329.8100228
536	329.7159104
537	329.620734
538	329.5057186
539	329.3912119
540	329.299936
541	329.196744
542	329.0827394
543	328.9798731
544	328.8879643
545	328.7853628
546	328.6943126
547	328.5939169
548	328.4942195
549	328.3931207
550	328.2925886
551	328.2001365
552	328.1094475
553	328.0187015
554	327.9245155
555	327.8342206
556	327.7347108
557	327.6445475
558	327.5552645
559	327.4426065
560	327.3531793
561	327.2605878
562	327.170928
563	327.0786051
564	326.9664837
565	326.8704676
566	326.7731725
567	326.68397
568	326.5722981
569	326.4666537
570	326.375264
571	326.2817845
572	326.1822709
573	326.0912424
574	325.9926959
575	325.8932262
576	325.8030376
577	325.7041559
578	325.6075621
579	325.4979803
580	325.4127747
581	325.3144878
582	325.2264192
583	325.1281245
584	325.0182732
585	324.9259647
586	324.8170026
587	324.7255024
588	324.6165159
589	324.5242197
590	324.4410148
591	324.3320737
592	324.2459575
593	324.1375835
594	324.0297426
595	323.9331587
596	323.8415769
597	323.7386758
598	323.653698
599	323.5467321
600	323.4396648
601	323.3387224
602	323.2358213
603	323.1476277
604	323.0514726
605	322.9659103
606	322.875458
607	322.790453
608	322.7002226
609	322.6056195
610	322.5185438
611	322.4314299
612	322.3302758
613	322.2406283
614	322.1479255
615	322.0503266
616	321.9556343
617	321.8689869
618	321.7795994
619	321.6849419
620	321.5957846
621	321.5027007
622	321.4152591
623	321.3217524
624	321.227883
625	321.1295302
626	321.0249332
627	320.9416698
628	320.8565778
629	320.7574983
630	320.6710271
631	320.5832457
632	320.4893513
633	320.3971009
634	320.3071341
635	320.2144661
636	320.1219411
637	320.0310492
638	319.9490186
639	319.8568567
640	319.7534043
641	319.6566718
642	319.5651136
643	319.4732083
644	319.3867024
645	319.2974457
646	319.2158157
647	319.1257617
648	319.0437443
649	318.9534278
650	318.8727852
651	318.7712219
652	318.6895389
653	318.5993792
654	318.5036782
655	318.4180764
656	318.3174702
657	318.2222541
658	318.1348804
659	318.0399087
660	317.957255
661	317.8573008
662	317.7687229
663	317.6680706
664	317.5749725
665	317.4754888
666	317.39686
667	317.3027439
668	317.2027527
669	317.1029267
670	317.0107049
671	316.929084
672	316.8355593
673	316.7366394
674	316.6432309
675	316.5548421
676	316.477407
677	316.3844726
678	316.2903182
679	316.1976408
680	316.1199518
681	316.027252
682	315.9301199
683	315.8393225
684	315.7588075
685	315.6784298
686	315.5865001
687	315.4883436
688	315.3975764
689	315.2995873
690	315.2081857
691	315.1179304
692	315.0306885
693	314.9515567
694	314.8687743
695	314.7714515
696	314.6820737
697	314.5901203
698	314.5107524
699	314.4253331
700	314.3392241
701	314.2544008
702	314.1593539
703	314.0692533
704	313.9735583
705	313.883717
706	313.7983879
707	313.7127209
708	313.6276416
709	313.5528745
710	313.4718168
711	313.3825152
712	313.2976156
713	313.2134242
714	313.1244222
715	313.0440891
716	312.9503343
717	312.8556182
718	312.7709949
719	312.6825334
720	312.5942223
721	312.5103536
722	312.4235348
723	312.3295264
724	312.236517
725	312.1424353
726	312.0490906
727	311.9613894
728	311.8812063
729	311.7979236
730	311.7106802
731	311.6235855
732	311.5366392
733	311.458076
734	311.3750007
735	311.2962036
736	311.209628
737	311.1232001
738	311.0405258
739	310.9543242
740	310.863161
741	310.7814634
742	310.6905702
743	310.6058741
744	310.524824
745	310.448757
746	310.3633076
747	310.2729422
748	310.1960196
749	310.1181999
750	310.0341644
751	309.9569134
752	309.8725129
753	309.783114
754	309.6983685
755	309.6139538
756	309.5296835
757	309.4397613
758	309.3555327
759	309.2654777
760	309.1816792
761	309.1017016
762	309.0281429
763	308.9540207
764	308.8705715
765	308.7858184
766	308.7025961
767	308.6222611
768	308.5384843
769	308.465601
770	308.3856545
771	308.3122009
772	308.2383425
773	308.1657451
774	308.0831683
775	307.9994547
776	307.9146742
777	307.83518
778	307.7538033
779	307.6716933
780	307.5967574
781	307.521076
782	307.4421275
783	307.3720303
784	307.2901333
785	307.2085676
786	307.1345813
787	307.0600352
788	306.9787259
789	306.8973638
790	306.8155749
791	306.7278481
792	306.6469917
793	306.5672326
794	306.4798365
795	306.4023225
796	306.316607
797	306.2389558
798	306.1539286
799	306.0728432
800	305.9998614
801	305.9244044
802	305.8445011
803	305.7647355
804	305.6915992
805	305.6076381
806	305.5307064
807	305.4511543
808	305.3657079
809	305.2879146
810	305.2088817
811	305.1247171
812	305.0504853
813	304.9751139
814	304.8958283
815	304.8179772
816	304.7417409
817	304.6633486
818	304.5856248
819	304.5100911
820	304.4291029
821	304.3516649
822	304.273781
823	304.1969648
824	304.1124607
825	304.0316893
826	303.9519443
827	303.8788665
828	303.8015173
829	303.7290518
830	303.6575698
831	303.5750499
832	303.4982012
833	303.4218836
834	303.3396488
835	303.2694943
836	303.1956493
837	303.1189228
838	303.0380025
839	302.9578487
840	302.8761804
841	302.793487
842	302.7230415
843	302.6425834
844	302.5613695
845	302.4856751
846	302.4104605
847	302.3367762
848	302.2613879
849	302.1915184
850	302.1123824
851	302.0351695
852	301.9651403
853	301.8847731
854	301.809932
855	301.7335889
856	301.6587306
857	301.5822919
858	301.5023564
859	301.4337235
860	301.3576387
861	301.2843647
862	301.2117937
863	301.1378047
864	301.0637429
865	300.9855717
866	300.9119042
867	300.8433563
868	300.7644231
869	300.6855544
870	300.6123074
871	300.5471972
872	300.475756
873	300.4027458
874	300.3297705
875	300.2573996
876	300.1910059
877	300.1182982
878	300.0457453
